YEAR,Final_Price_RSS 1,Final_Price_RSS 3
2014 JAN,321.34,275.05
2014FEB,294.69,278.12
2014MAR,301.5,286.38
2014APR,281.28,281.14
2014MAY,289.54,279.5
2014JUN,313.47,290.25
2014JUL,289.86,268.33
2014AUG,263.52,257
2014SEP,261.08,240.5
2014OCT,286.8,265.75
2014NOV,263.21,252
2014DEC,262.83,248
2015JAN,304.83,302.5
2015FEB,275.75,266
2015MAR,244.3,234
2015APR,219.3,211.5
2015MAY,233.75,217.75
2015JUN,235,224
2015JUL,243,235
2015AUG,243.33,228
2015SEP,238.83,223
2015OCT,241,231.5
2015NOV,233.585,213.915
2015DEC,226.17,196.33
2016JAN,228,191.165
2016FEB,194,186
2016MAR,208.68,190
2016APR,232.63,230.5
2016MAY,245.33,240
2016JUN,268.92,255
2016JUL,254.38,243.33
2016AUG,229.33,215.5
2016SEP,225.23,218.5
2016OCT,236.4,232.25
2016NOV,256.57,250.88
2016DEC,285.21,283
2017JAN,328.71,324
2017FEB,338.67,329
2017MAR,316.21,308.75
2017APR,322.06,312
2017MAY,340.43,343
2017JUN,343.8,322.5
2017JUL,352.5,328.5
2017AUG,346.38,329
2017SEP,343.5,328.5
2017OCT,345.67,328
2017NOV,336.5,320
2017DEC,332.8,324.7
2018JAN,311.17,295
2018FEB,278.83,252.5
2018MAR,280.33,258.75
2018APR,265,245.5
2019MAY,285.83,265.25
2018JUN,317.5,285
2018JUL,300,275.75
2018AUG,281.44,266.5
2018SEP,259.1,257.25
2018OCT,263.21,248
2018NOV,262.75,252.5
2018DEC,274.5,257
2019JAN,252.3,242.5
2019FEB,247.67,237.13
2019MAR,267.31,243.565
2019APR,265.15,250
2019MAY,275.46,264
2019JUN,316.51,278
2019JUL,299.6,275.3333333
2019AUG,290.73,272.6666667
2019SEP,302.5,270
2019OCT,301.29,295.7
2019NOV,317.93,321.4
2019DEC,325.34,308
2020JAN,326.46,315
2020FEB,301.25,263
2020MAR,300,273
2020APR,303.8333333,274
2020MAY,307.6666667,275
2020JUN,311.5,276
2020JUL,315.3333333,277
2020AUG,319.1666667,278
2020SEP,323,307.75
2020OCT,362.67,337.5
2020NOV,406.88,375
2020DEC,430,390.5
2021JAN,458.5,434
2021FEB,444.33,416
2021MAR,426.5,409
2021APR,428,410
2021MAY,450.25,432.5
2021JUN,467,450
2021JUL,454.5,442.5
201AUG,456.5,435
2021SEP,462.5,442.67
2021OCT,488,463
2021NOV,515,463
2021DEC,475,463
2022JAN,461,440
2022FEB,458.5,471.5
2022MAR,562.7,503
2022APR,648.75,629
2022MAY,718.33,686
2022JUN,800.8,743
2022JUL,742.9,701.5
2022AUG,685,660
2022SEP,670,574.75
2022OCT,500,489.5
2022NOV,526.7,515
2022DEC,517.67,473
2023JAN,472.6666667,476.5
2023FEB,505,465.6666667
2023MAR,480,454.8333333
2023APR,464,444
2023MAY,485,479.3333333
2023JUN,536.25,514.6666667
2023JUL,600,550
2023AUG,518.3333333,500
2023SEP,566,545
2023OCT,610,565
2023NOV,682.3333333,585
2023DEC,793.3333333,605
2024JAN,658.3333333,625
2024FEB,650.5,633.3333333
2024MAR,686.5,629.1666667
2024APR,645,625
2024MAY,660,633.3333333
2024JUN,675,641.6666667
2024JUL,700,650
2024AUG,726,685
2024SEP,752,720
2024OCT,810.5,708.75
2024NOV,802.5,697.5
2024DEC,760,686.25
