REAL SECTOR,,,,,,,,,,,,,,TABLE  14,,,,,,,,
,,,,,,,,,,,,,,Back to Contents,,,,,,,,
Annual Rainfall and Rainy Days ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Meteorological Stations,1961-1990,,1991-2010,,2011-2020,,2021,,2022,,2023,,2024 (a),,,,,,,,,
,Annual Average,,Annual Average,,Annual Average,,,,,,,,,,,,,,,,,
,"Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days","Rainfall
(mm)","No. of
Rainy
Days",,,,,,,,
Anuradhapura,"1,285",89,"1,269",97," 1,629 ", 104 ," 1,533 ", 111 ," 1,565 ", 104 ," 1,653 ", 113 ," 1,559 ",98,,,,,,,,
Bandarawela ,"1,572",129,"1,571",149," 1,703 ", 149 ," 1,786 ", 167 ," 1,908 ", 164 ," 2,185 ", 184 ," 1,678 ",146,,,,,,,,
Colombo,"2,424",146,"2,389",162," 2,396 ", 171 ," 2,856 ", 196 ," 2,390 ", 158 ," 3,393 ", 209 ," 3,442 ",197,,,,,,,,
Hambantota,"1,050",87,"1,020",101," 1,079 ", 107 ," 1,207 ", 122 , 740 , 90 ," 2,042 ", 139 ," 1,162 ",116,,,,,,,,
Katugastota,"1,840",148,"1,842",170," 1,814 ", 168 ," 2,423 ", 178 ," 1,974 ", 166 ," 2,265 ", 193 ," 2,029 ",172,,,,,,,,
Nuwara Eliya,"1,905",163,"1,855",193," 1,805 ", 187 ," 1,936 ", 203 ," 1,828 ", 192 ," 2,157 ", 199 ," 1,797 ",173,,,,,,,,
Ratnapura,"3,749",205,"3,688",223," 3,619 ", 225 ," 4,410 ", 198 ," 4,377 ", 226 ," 4,781 ", 244 ," 4,852 ",236,,,,,,,,
Trincomalee,"1,580",86,"1,476",87," 1,622 ", 99 ," 1,691 ", 113 ," 1,871 ", 112 ," 2,262 ", 113 ," 1,740 ",107,,,,,,,,
Note : mm = millimetres,,,,,,,,,,,,Source: ,Department of Meteorology,,,,,,,,,
(a) Provisional,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
